Dataset,Fold,MAE,MedAE,R2
IPB_Halle,0,87.5756882019043,36.89569091796875,-0.1994544232973694
IPB_Halle,1,18.347555961608887,10.3709716796875,0.9313678311101073
IPB_Halle,2,22.963410919189453,7.821080688476563,0.8069731529522893
IPB_Halle,3,18.135915031433104,19.661901824951165,0.9899131384726109
IPB_Halle,4,25.127599914550782,20.570887329101566,0.9118111818371927
IPB_Halle,5,26.13565665435791,17.212570190429688,0.9671755741950391
IPB_Halle,6,15.74826869419644,14.661956787109375,0.9896056968513155
IPB_Halle,7,29.808121372767857,14.89556884765625,0.9369214524157841
IPB_Halle,8,36.43586769321987,20.693625244140627,0.8304540971725171
IPB_Halle,9,29.73958650425502,21.30263635253906,0.620641896851394

IPB_Halle,Average,31.0018 ± 19.7846,18.4087 ± 7.5241,0.7785 ± 0.3429
