Dataset,Fold,MAE,MedAE,R2
UniToyama_Atlantis,0,108.42385771679687,32.27531030273434,0.604116460278836
UniToyama_Atlantis,1,72.12605151475692,48.42332322265622,0.9390293649113416
UniToyama_Atlantis,2,104.1524449549479,62.79162156250004,0.7899399504377331
UniToyama_Atlantis,3,161.92348312282988,152.73050537109373,-0.8493719979010617
UniToyama_Atlantis,4,117.9680391731771,98.15026369140628,0.4029730530023775
UniToyama_Atlantis,5,113.71279009548613,74.27559035156253,0.770110290811713
UniToyama_Atlantis,6,190.88505465980901,172.54313380859367,-0.32971011799895744
UniToyama_Atlantis,7,105.64216072265623,96.85823974609377,0.3628555556812789
UniToyama_Atlantis,8,112.11478297717014,27.165650390624933,0.7241435846455084
UniToyama_Atlantis,9,152.66303261284722,135.91655371093748,0.7642886057859446

UniToyama_Atlantis,Average,123.9612 ± 32.6822,90.1130 ± 47.9235,0.4178 ± 0.5432
