Dataset,Fold,MAE,MedAE,R2
FEM_long,0,416.8420952029344,314.24946289062495,0.7552749680071645
FEM_long,1,144.79542236328123,51.24721679687491,0.7755397150624364
FEM_long,2,201.06334747314452,53.81409912109376,0.7948998379925138
FEM_long,3,106.20731628417971,59.248486328125026,0.9704549069338279
FEM_long,4,144.93490881347657,73.66120117187495,0.9149835279682601
FEM_long,5,138.07998931884768,83.86788940429682,0.9561244556349029
FEM_long,6,207.6964709472656,78.091064453125,0.7710911820036115
FEM_long,7,116.24374267578128,73.54364013671875,0.9733434595008936
FEM_long,8,123.76753032226561,69.2670166015625,0.9430541046569477
FEM_long,9,138.87174499511718,102.5006103515625,0.9491016164268578

FEM_long,Average,173.8503 ± 86.9004,95.9491 ± 74.1580,0.8804 ± 0.0885
